	text	class
78	   судя по картинке на тв средний возраст федерального собрания       лет и почти все плешивые 	1
79	   есть компроматец на   но кого этим удивишь   	1
80	 я одна не хочу идти на этот фильм  d	1
81	 да уж  не ожидала от него такого  так подставил меня  	0
82	санти с семеном были правы вчера  как бы это грустно ни звучало 	0
83	захотел я тут в контакте вагнера послушать  ввел в аудиозаписях рихард вагнер и пьеса   слеза   оказалась треком из   пианомании   чудеса   	1
84	хочу много музыки чтобы конкретно уносило хочу чтобы в данный момент окружали только дорогие мне люди хочу чтобы всё у всех было хорошо   	1
85	 лента   а  зима в украине начнется через   часа          россия  вам везет  поздравляю с зимой   	1
86	где моя обещанная толстовка  я же уезжаю скоро    	0
87	 вот достали  еще и с год ждать пока терминалы оплаты перепрошьют   	0
88	у тебя появилась еще одна катя    коллекция  однако 	1
89	 наташка не скучай я тебя люблю   ну ближе к ночи точно буду помнишь    ночь начинается в          	1
90	любишь коньяк      я не люблю пить  но мне приходится  	0
91	некоторые сложности   быстрее бы уже новый год	0
92	 выздоравливай  как больной человек больному говорю  и не надо шокировать людей  уж лучше салфетки  d	1
93	приседаай         на 	1
94	проснулся от боли в сердце  пустое сердце еще никогда так не болел  	1
95	 хорошо   я сейчас русский делаю    удачи в школе	1
96	настя пиздит от бога когда говорит что она уже вышла из дома d	1
97	думаю  мы уже не поднимимся   justin russia rules your instagram  justin russia rules your instagram  justin russia rules your instagram	0
98	 предсочинский шоппинг  в салон забежать   	1
99	  что ты все волосатость мусируешь  комплексы  	1
100	вот и прошёл новый год   я уже скучаю по этой праздничной атмосфере  	0
101	  папе ашшкажу  как ты вылила тыквенный шок    хм   уже и не посамовольничаешь    мужская солидарность     	1
102	   а впрочем  mtvstars    seconds to mars 	0
103	всем доброе утро   и отличного настроения     	1
104	    я никрасивый    	0
105	 угу   но это только в мечтах   	0
106	очень жаль  что не хватило   балла в чемпионате по европе  одного балла   	0
107	   острова      скорее всего не будет      вот это печаль так печаль   	0
108	 о е  о да  сказал себе я  и выпил чая 	1
109	  рада бы верить но вижу свою деревню  ростки хорошего пытаются выжить на бетоне  грубо говоря      как и в городе 	0
110	   ну что  как вам новая опера  по мне   отличненько    	1
111	всего лишь   месяца прошло  а как будто целая жизнь                   хотя наверное это уже и не мало  	0
112	теперь я должна не просто состоять в клубе лохов  а возглавлять его в полнейшем одиночестве  d	1
113	 а я тебе говорил  надо было в      встретиться  щас вот опоздаем в киношку и я пропущу все охуенные трейлеры   	0
114	   войны не будет  	0
115	  просто по шариату и православию жить скучно    вот и нюансы случаются   	1
116	шкода октавия супер  купе  между прочим   	1
117	стало одновременно и лучше и хуже  откатываюсь обратно  итого   производительность улучшилась  но баги увеличились   	0
118	смотрела как несут олимпийский огонь   	1
119	  у блэр кроме серены никого и не было  	0
120	 плохо    пуховик порвала а он оч дорогой  мама убьет	0
121	уехала в лагерь   скучаю по вам   любимые    лёшкаа	0
122	 почему вы расстались со славой  были такие крутые 	1
123	посоветуйте класнсое кино на вечер плиз  а то я болею лежу и умираю со скуки  lt   всем мира добра конфет и вай фая  d	1
124	отдала заначку в три тысячи на разводы мелкой  горько пиздец  хотела маникюр  педикюр  	0
125	   вошло в традицию ломать наушники раз в две недели  	0
126	сегодня отдыхаем после  блинком  и да  я пока еще буду в питере 	1
127	хотела начать курить  но папа не разрешил             	0
128	пришла домой тодько  ходила по магазам и ничего не нашла  жизнь гавно  уроки не сделаны  я устала	0
129	ли са так уморительно падает в эндинге seiken no blacksmith     	1
130	   так голова болит  ужас 	0
131	а я только проснулась  мне скоро на репетиторство   	0
132	 иногда просто трудно сдержаться      	0
133	решила что большой поэмы есенина мало выучила еще одно стихотворение 	1
134	 включи вконтакте дуров я курить же бросил как бы не начать опять  	0
135	что ж я за баба   мне даже цветы на   марта дарили последний раз год назад  шото я цветов захотела  пойти купить себе  что ли	0
136	он в клубе  он в клубее  ахахах твою мать  говорит что там одни пиздюки  а он у нас взрослый же  	1
137	 я любля в этом фильме всё       а мистер вольф  который решает проблемы       ха ха ха	1
138	   опять пляж  	0
139	   это я    	0
140	 ну и правильно   надо тоже  но с телефона неудобно  	0
141	сегодня во сне я побывала на карибских островах  как жаль что сон закончился   	0
142	купила сок   без трубочки  пью из дырочки   леньвкружкуналивать	0
143	samsung mlt d   u   лазерный samsung цвет  black ресурс        стр	0
144	только в этом углу ловит вайфай    	0
145	ночки  рибятишки   я спать   читать  ахаза  я сегодня так устал 	1
146	у нас в городе концерт юрия башмета  оказывается  завтра  билеты от   до     тысяч    	0
147	этот новый год у меня без алкоголя  мне так скучно  настроение че то ваще подводит 	0
148	эх  даа  с каждым днем все сложнее и сложнее  	0
149	   эта девочка разбилась на том самолете  	0
150	о  да детка я заскринила это  d 	1
151	какие хорошие фотографии  игорь    	1
152	 жаль  я уже где то неделю ищу эту фото никто не знает   	0
153	   в предвкушении нового альбома от  родилась вот такая абракадабра   с днем рождения и с презентацией    …	1
154	   как обидно я виновата перед мамой только за то что люблю отца      	0
155	  вот вот организовываем встречу   	1
156	найти себя  конечно  можно  но лучше все же не рисковать    	1
157	   дубай за    лет  а у нас асфальт не могут положить…   	0
158	  пронесло  осталась дома  но тренировкам придется сбавить темп  а мне не таскать тяжести   	0
159	ахаха вспомнила поездку в москоу как катя донимала тему с петушком d ну а что он сам предложил мне эту идею d 	1
160	 когда посмотришь  напиши первые впечатления 	1
161	 ну это хорошая затея     главное в отношениях это команда     	1
162	пресс сдавала только что о так я еще и хорошо его качаю 	1
163	   блин вы как всегда                   	1
164	очень не приятно       такое ощущение  что мне этим самым хотели показать  что я никто и ничто        	0
165	это утро можно охарактеризовать одним нехорошим словом  но я не буду  оно же еще не закончилось  	1
166	    издеваешься  да   d	1
167	 ахах русский язык d ахаха витя они сто пудого забыли что это такое d	1
168	   всем счастья   	1
169	моя дочуся совсем выросла  скоро будет годик как она живет с нами  моя малюська совсеем взрослая и толстая  	1
170	позвонили думал на улицу зовут а то ошиблись номером 	0
171	   мне хуй когда счастье подвалит    	0
172	      это из другой оперы   	1
173	ещё года     назад  когда впервые запускал игру и оказывался в новом мире  были очень особенные впечатления    куда это всё подевалось    	0
174	блин начали толдычить чёт по испанскому придурки мля 	1
175	ожидаемого эффекта я не получил   ну что уж тут поделать   ебанаты не захотели ответить на вопрос  	0
176	   моя аня в москве   а встретиться не получится	0
177	играем с моей зайкой в ванне   чай мне наливает   	1
178	   гарри и кендалл покидают свой отель  почему это происходит каждый гребаный декабрь и каждый раз в нью йорке      http  …	0
179	" лал сорри тогда  d
ахах ну ты молодец   
эт классно с  "	1
180	карочи идёт сейчас давай поженимся по ящику и там мужчинка такой пришёл наивный к невесте бля она сука его обосрала а его так жалко   слёзки	0
181	хороших снов тем  кто сегодня отдыхает   тсс   весь вагон спит   еду на работу   вперёд  заре на встречу       	1
182	 так то что она так здорово вписалась говорит что она соответствует этой среде как рыба в воде   ачё    прикольна   завидуйте    	1
183	как же я устала    как же это сложно   это всё очень глупо   это же не возможно        	0
184	 можно попинать яблоки  а то я груши не люблю   	0
185	скорее всего снега на говый год не будет  	0
186	" так кто   
когда тогда  d я не настолько знаю матчасть  я и без понятия была до недавнего времени  какого он вероисповедания"	1
187	кто фоткал сегодня на мазде  киньте мне ссылку на фотографии  хочу отчет для жж с выставки сделать т к  я впервые отдыхал  а не работал   	1
188	   надо было утром придушить  о 	0
189	у меня надеюсь к концу недели будет как минимум     твитов 	1
190	   болл пул      в фаервоксе у меня не очень хорошо заработало   	1
191	делаю русский  запятые хз где поставить  а вот  говорила  что в школу мы именно за этим ходим d	1
192	 у меня тоже мой разбился и было очень обидно т к разбился не в моих руках   	0
193	турецкий премьер министр посетит apple  google и microsoft в рамках тендера на      млн  планшетов для турецких школ  пожелаем пму удачи    	1
194	  дня до экзамена я еще не начинала учить  	0
195	 когда же этот бардак прекратится   	0
196	а   го здесь пройдут игры саха квн где играет уже близкая для меня команда квн   сэтмэт    пусть девчонкам тоже сопутствует удача и везение   	1
197	      градусов в квартире    а работать то надо   	0
198	   посмотрел фристайлы гарри топора на версусе    вот он там ебашит    быстрый  бешеный  заводной стиль   	1
199	мне холодно и плохо  надо было остаться дома   я чет ступила	0
200	    ебу мозг за конфетку     	0
201	  я хочу в центр но без денег там делать нечего   	0
202	 да уж не дай бог  да и все равно обойдется все только словами  газетчик же 	1
203	а вообще удача мне улыбнулась  я нашёл   месторождение   горячей воды    	1
204	  я потом расскажу  как одеваются ужчины 	0
205	 я думала  это очередной глюк  но бляя    	0
206	    у меня есть голос  все говорят  а мама наоборот говорит  что мне медведь на ухо наступил  щитоподелать   	0
207	не зря бэкапил  карма    через гпрс вааще не работает  через вафлю   зацепился и благополучно дропнул все контакты 	0
208	и все зависло       	0
209	   как развеселить анюкова  легко  сказал   могу подарить galaxy  вместе посмеялись  шутка     	1
210	хотя  походу  это другой чел  но со спины не понять 	0
211	ты хорошо целуешься    не мне судить  d 	1
212	 ой господи нашла из за чего расстраивается 	0
213	все еще еду на работу   пиздец  головы не сносить   	0
214	не получилось сегодня  дурацкая система сга 	0
215	кураторша  когда ж ты придешь  мне надоело тут сидеть одной 	0
216	незабываемое время    	0
217	  иронично и пренебрежительно  не одно и то же  	1
218	     да и пофи г      привет вам  однако   	1
219	q  ты oчeнь xоpошая cтароcтa  твои тебя oбoжают  a знaчит eсть за что   a  	1
220	    программирование  	0
221	   спасибо всем  кто пришёл на игру      паха красавчик  что отыграл даже с носом     	1
222	сегодня не получится опубликовать прогноз на эту торговую неделю    сделаю это завтра рано утром 	0
223	пичалька наступила в виде распарафинившихся лыж и жесткого налипа  	0
224	   шестой твит для   ахаах  нее  больше я на это не поведусь d	1
225	у меня страшный недуг    	0
226	вчера мне говорили одно  сегодня нашли замену 	0
227	интресно а на кинодудках покажут трейлер      оттенков серого     	1
228	ликёр ром текила мартини виски абсент сабли    рублей спирт    рублей водка коньяк вино    рублей всё в  литровых канистрах если нужно пиши 	1
229	мне сообщили сегодня ужасную неожиданную новость  я подавлена и шокирована  пожалуйста только не это только не сейчас       	0
230	 благодаря твиттеру знаешь  что вк у всех не работает   	0
231	нг встречаю практически одна  это грустно так 	0
232	 за мату конкретно обидно   он едва ли не лучший плеймэйкер апл   да и за давидку неприятно   	0
233	     он такой тоолстый стал 	0
234	квартира до появления детей и после    	1
235	 очень не хочу на академическую  но бля меня убьют  если прогуляю опять   	0
236	прочитал сообщение о закрытии google reader через google reader   	0
237	как же долго загружаются эти фотографии  	0
238	температура еще поднялась  отлично просто 	0
239	 ну божи мой  чего им не живется спокойно  надо кого нибудь убрать  поменять  расстроить  поссорить  а нам страдай   	0
240	 в основном везде оочень дорого   	0
241	 о  это вкуснее   но вряд ли кола и пепси родят общего ребеночка х 	1
242	собака наблевала аж   кучи  а мне убирать     	0
243	 мне нереально нравится именно скрипач  	1
244	даже на учебе не херово было  а потом такой сюрприз вечером  	1
245	   в школе жара  а за окном метель  	1
246	я жру очень много сладкого что то не куда не откладывается   	0
247	   я слишком легко поддаюсь на уговоры    купили сейчас билеты на концерт шнурова  у моего билета номер         интересно  э	0
248	 увы  увы  все здесь напоминает о вас  надоели вы мне  ну правда 	0
249	   катя  ты считаешь  	1
250	 ты щас дома    а мне еще   часа на курсах    дома буду в         хочу домой  	0
251	 привет  не знаете про lte мегафона на айфон  скоро будет 	1
252	небольшой перерыв от школы    наконец то я выспалась   	1
253	♥ мода в твоих руках      аутфита  я снова с вами   ♥   на 	1
254	   все три ушедших участника   каждый вызывает   эмоцию   разную    но вызывают  волчков   ничего  просто пустота      жаль  голос	0
255	вечерняя красная площадь   прекрасна     	1
256	    а мозгов не прибавилось  скорее наоборот     	0
257	     я тоже  но выходные незаметно пролетают  а желания не вылезать из под одеяла остаются	1
258	все втыкают  мне скучно  я бы хотела что бы телефонами в этой жизни не пользовались  много времени уделяли бы друг другу  	0
259	 как то там много видосов как всегда софия как всегда об одном ночь без тебя  ахаха  впрочем как и все почти остальные ночи 	1
260	мой статус стырили еще раньше  чем я его придумал    d	1
261	блин как же сейчас плохо  такое не понятное чувство   	0
262	 у меня со вторника прошлого      и еще в четверг  изверги они  d	0
263	это ведь мой любимый русский биатлонист  	0
264	   уже скучаю по любимым   	0
265	 о  мне вчера смс писал    сегодня с первым снегом поздравил 	1
266	 да лаадно   ноль   это серьёзно что ли  	1
267	 да вот не знаю у меян работы куча как была так еще больше вот стала 	0
268	по телику   один дома    я в деревне  все родственники здесь   все как раньше   почти все   	0
269	   это пиздец  а не экзамен  у меня правда истерика уже  	0
270	после нг уезжаю в балхаш     часов на автобусе в   сторону  кажется в австрию я вернусь весь поломанный и компактный    	0
271	а я тебя правда полюбила  ты сделал мне ужасно больно когда сказал   что у тебя есть другая       	0
272	я так устала сегодня    контрольных работы подряд   это жесть    	0
273	и тут я поняла  что людей  которых я действительно хочу читать  не так уж и много  	0
274	 ну я же говорил      не зря на турнирах играю и терплю унижения   d	1
275	все таки я сходила с ним погулять      мм    он такой классный    	1
276	проехали мимо ул гту    оказывается он совсем рядом с бабушкиным домом  	1
277	мда    на этой неделе мне надо жопу на немецкий крест рвать  каждый день сдавать по     контрольные     а потом еще неделя учюбы и каникулы 	0
278	я съездил  а все равно не верю  ну потом что так не должно быть  просто это не правильно  так нельзя       	0
279	купитману это бы понравилось      смотрите фильм  остров везения  в кинотеатрах с   	1
280	 прости  у меня даже времени не было тупо ленту пролистать   	0
281	спасибо маш  правда в тему   ты очень добрая    	1
282	 я его как раз усердно ем  а то горло болит    спасибо тебе большое машенька  за варение  вот что бы я без него делала  	0
283	милый и самый любимый  едет домой и его ждет вкусный ужин а еще сегодня у нас наша дата антошка обожаю тебя	1
284	 я буду в амстердаме с   по   января  поехали вместе  	1
285	так тяжело продолжать до сих пор злиться на тебя    o   ru ff  ff ru  followback	1
286	 мы толком не знаем с нам только сегодня сказали   алгебра и геометрия пропала  хотя это и радость но у нас походу будут заменять 	0
287	смысл что вчера писала до пол  все ровно зачет сдавала       сдала конечно на    но спать то от этого меньше не хочется   	0
288	я тут осознал  что у меня жирные ляхи  эта участь теперь напала и на меня х 	0
289	что то в последнее время я относительно мало пишу в твиттерок  	0
290	  добро пожаловать в клуб  	0
291	такой сон мм    жаль  что сны нельзя записать 	0
292	вот вы все пишете   ищу принца    а я вот его уже нашла но только он об этом не знает     	0
293	 и больше вообще вообще не будет   	0
294	  кто то хочет  быть  хоть  немножко  тобой поняла на  кого  похоже   	0
295	порвала   помогите мне где можно сделать 	0
296	 вот ты написала  и мне грустно даже стало  	0
297	а мы чекаемся имбирными человечками  люблюю пупсиков   	1
298	 а у нас сегодня был урок и мы дописывали старый конспект под егодиктовку правда  применение списывали с учебника  но я счастлива	1
299	ааа   хоть бы она постаралась приехать    	0
300	итак  поехали    несколько занимательных фактов о спорте  что то может быть уже и было  заранее извиняюсь   	1
301	сделал овсянку в банке  получилось вот что  остынет и попробую на вкус  	1
302	спать надо  столько всего сегодня было  переварить надо  завтра на уроках не скучно будет  	1
303	через полчаса еду на фгс  такого и врагу не пожелаешь   удачи мне	0
304	убейте ее  пожалуйста  у меня не осталось больше сил   	0
305	   я ржу над соней с её новым телефоном d	1
306	я быдло  бухаю  за собой не слежу  не развиваюсь       	0
307	ну просто все классно         просто очень нравится такое отношение      	0
308	о да  бессонница перед тяжелым важным днём   это как раз то  что нужно   	0
309	 лэго хүрэхгүйнээ хүнд асуудал     	0
310	когда умирает последняя надежда  остается шутить  	1
311	   только что в ок прочитал  что у одной девочки мечта увидеть  в живую   	1
312	   прочитала письмо охлобыстина к президенту  жаль что ваня оказался таким настоящим боевым пидорасом    синдромканделаки  …	0
313	   хочу главу зверя                     	0
314	как же охото верить  что сегодня суббота 	0
315	 а потому что кто то слишком быстро бегает к поезду   	0
316	раньше  летом на море ездили чтобы погреться  позагорать  сейчас   чтобы от жары спастись  	1
317	пришла домой и не раздеваясь настрочила поздравление вике я самая последняя походу ее поздравила  	0
318	   люблю зиму за то  что люди носом разблокируют телефоны  и такие оглядываются типа без палева   а я то все вижу  да да 	1
319	   дуже дуже не хочу завтра в школу 	0
320	так бы и провдил каждый день с тобой  просто леч  ничего не делать  смотреть телик и прото отдыхать    	1
321	был о них ранее лучшего мнения  но они s amp p     и     добавили facebook  	1
322	   очиридной нишидивр    	0
323	 ну почему  я всё так же на постинге сижу   всё так же в поиске   	0
324	поэтому  послушаю the beatls   yesterday  и посажалею сама себе   	0
325	 не расстраивайся тринадцать   	0
326	эти сраные квадратики мешают мне смотреть на лицо теннанта   gt  lt  кто нибудь почините мне ноут 	0
327	всем доброе утричко  хотя я бы поспорила на счет доброго 	1
328	вампир   это хорошо но я скучаю по нормальной жизни      	1
329	 два года назад высчитывал  что если больше    лайков в минуту  то будет в популярном  потом  правда  многое поменялось      	0
330	 наверное потому что у вилле больше фоток в кепке с сигаретой     d 	1
331	у кого через    дней день рождения  кто у нас уже совсем большой  кому будет     а не     это же малыш джаред лето    	1
332	я даже не знаю  у кого что происходит  а так интересно  я только по жж да инстаграмму понимаю    а в вк у меня своя атмосфера можно сказать 	0
333	   насильно  мил  не  будешь хоть дари всем подарки и сладости но если ты меня когда нибудь полюбишь  я  наверное  сдохну от рад…	0
334	    наши юпы идеально подходят друг другу  dd 	1
335	 оо а я сейчас в торопях буду приводить себя в человеческий вид 	1
336	ладно  так и быть  сделаю ей печенье на день рождения 	1
337	 испытываю вегетативную неприязнь к людям  запикивающим это слово   	0
338	из каментов обсуждения статьи   среднестатист	0
339	заебись я йогурты пожрала вчера  все утро рвет     отравилась	0
340	ч утра голова и шея болят  вроде прошла голова  настроение стало повышаться  но тут я пришел домой    только       а уже все хуево  бесит 	0
341	   билль ты колечки купил  d	1
342	мой психиатр сказал  что я не смогу захватить мир  наивный раб  	1
343	в тот раз я заметила его и упорно делала  чтоб он заметил меня  сегодня все наоборот  d	1
344	 напилась в хламинушку и спать пошла  	1
345	хочу смайлики как вк чтобы в твиттер и инстаграм писать с ними    	0
346	 пичалька    кстаа  ты посмотрела зал самоубийц 	0
347	как же я хочу к  рассказать ей всё она всегда выслушает и поймёт как хреново и поддержит  таких людей к сожелению у меня единицы	0
348	ребят  не знаю как вы  но мне так лень готовится к культуре   я уже все по дому сделала  книгу прочитала  но так и не начала готовится 	0
349	 а я хотела заорать  чтобы бильбо не орал  в пещере    шерлок  какого чёрта  ты где был     не хватило смелости    	0
